2024-01-12 21:40:38,505 - INFO - [Restart 0] 384) Best value: -1.54e-04 | TR length: 1.25e-02 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:40:39,003 - INFO - [Restart 0] 388) Best value: -9.21e-05 | TR length: 1.25e-02 | num. restarts: 0/5 | num. successes: 2/10
2024-01-12 21:40:39,517 - INFO - [Restart 0] 392) Best value: -9.21e-05 | TR length: 1.25e-02 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:40:40,075 - INFO - [Restart 0] 396) Best value: -9.21e-05 | TR length: 1.25e-02 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:40:40,605 - INFO - [Restart 0] 400) Best value: -9.21e-05 | TR length: 1.25e-02 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:40:41,137 - INFO - [Restart 0] 404) Best value: -9.21e-05 | TR length: 1.25e-02 | num. restarts: 4/5 | num. successes: 0/10
2024-01-12 21:40:41,714 - INFO - [Restart 0] 408) Best value: -9.21e-05 | TR length: 6.25e-03 | num. restarts: 0/5 | num. successes: 0/10
2024-01-12 21:40:42,065 - INFO - [Restart 1] 452) Best value: -6.77e-01 | TR length: 8.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:40:42,388 - INFO - [Restart 1] 456) Best value: -5.58e-01 | TR length: 8.00e-01 | num. restarts: 0/5 | num. successes: 2/10
2024-01-12 21:40:42,777 - INFO - [Restart 1] 460) Best value: -4.12e-01 | TR length: 8.00e-01 | num. restarts: 0/5 | num. successes: 3/10
2024-01-12 21:40:43,110 - INFO - [Restart 1] 464) Best value: -3.50e-01 | TR length: 8.00e-01 | num. restarts: 0/5 | num. successes: 4/10
2024-01-12 21:40:43,430 - INFO - [Restart 1] 468) Best value: -3.06e-01 | TR length: 8.00e-01 | num. restarts: 0/5 | num. successes: 5/10
2024-01-12 21:40:43,773 - INFO - [Restart 1] 472) Best value: -2.68e-01 | TR length: 8.00e-01 | num. restarts: 0/5 | num. successes: 6/10
2024-01-12 21:40:44,092 - INFO - [Restart 1] 476) Best value: -2.68e-01 | TR length: 8.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:40:44,410 - INFO - [Restart 1] 480) Best value: -2.68e-01 | TR length: 8.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:40:44,688 - INFO - [Restart 1] 484) Best value: -2.68e-01 | TR length: 8.00e-01 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:40:45,005 - INFO - [Restart 1] 488) Best value: -1.82e-01 | TR length: 8.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:40:45,322 - INFO - [Restart 1] 492) Best value: -1.82e-01 | TR length: 8.00e-01 | num. restarts: 1/5 | num. successes: 0/10
